,Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longitude
270,Swissotel The Stamford Hotel,"2 Stamford Road, S(178882)","\$2.20 for 1st 1hr, \$0.55 for next subsequent 15min from 8am to 6pm",\$3.00/entry from 6pm to 8am the following day,"\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 8am the following day","\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 8am the following day",1.2933597,103.8531036
271,"Takashimaya, Ngee Ann City","391 Orchard Road, S(238872)",\$1.28/30min (from 12.01am-12pm & 2.01pm-5pm) \$1.82/30min (from 12.01pm-2pm),"\$1.82/30min (from 5.01pm-7pm), \$4.28/entry from (7.01pm-12midnight)","\$2.57 for 1st hr, \$1.61 for next subsequent 30min (from 12.01am-12pm & 2.01pm-5pm), \$3.64 for 1st hr, \$2.14 for next subsequent 30min (from 12.01pm-2pm & 5.01pm-7pm), \$4.28/entry f","\$2.57 for 1st hr, \$1.61 for next subsequent 30min (from 12.01am-12pm & 2.01pm-5pm), \$3.64 for 1st hr, \$2.14 for next subsequent 30min (from 12.01pm-2pm & 5.01pm-7pm),",1.303212,103.83425799999999
272,Tampines Junction,"300 Tampines Avenue 5, S(529653)","\$1.50 for 1st hr, \$1.50 for next subsequent hr from 8am to 6pm",\$2.50/entry from 6pm to 8am the following day,Charges same as weekdays,\$3.00/entry from 8am to 8am the following day,1.3523107,103.9419402
273,Tampines Mall,"4 Tampines Central 5, S(529510)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm from Mon to Fri and Eve of PH","\$2.57/entry from 6pm to 11.59pm from Mon to Thurs, \$2.57/entry from 6 pm to 2.59am on Fri and Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm. \$2.57/entry from 6pm to 2.59am the following day","\$2.14 for 1st 2hr, \$0.32 for next subsequent 15min from 3am to 5.59pm. \$2.57/entry from 6pm to 11.59am the following day",1.3526608999999998,103.945245
274,Tampines Mart,"11 Tampines Street 32, S(529287)",\$0.70/30min from 8am to 5pm,\$0.70/30min from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,1.354349,103.9602589
275,Tampines Plaza,"5 Tampines Central 1, S(529541)",\$1.00/30min from 7am to 5pm,\$2.50/entry from 5pm to 7am the following day,Charges same as weekdays,\$2.50/entry from 7am to 7am the following day,1.3531936000000002,103.94268790000001
276,Safra Tampines,"1 Tampines Street 92, S(528882)","(For Member): \$0.81 for 1st hr, \$0.21 for next subsequent 15min, (For Public): \$1.75 for 1st hr, \$0.44 for next subsequent 15min from 6am to 6pm","(For Member): \$1.63/entry, (For Public): \$3.40/entry from 6pm to 6am the following day",Charges same as weekdays,"(For Member): \$1.63/entry, (For Public): \$3.40/entry from 6am to 6am the following day",1.344724,103.941739
277,Tan Tock Seng Hospital (TTSH),"11 Jalan Tan Tock Seng, S(308433)",\$0.04/min from 7am to 6pm,\$2.40/entry from 6pm to 7am the following day,Charges same as weekdays,\$2.40/entry from 7am to 7am the following day,1.3211194,103.8484458
278,Tanah Merah Ferry Terminal,"50 Tanah Merah Ferry Road, S(498833)",\$1.50/hr up to a maximum charge of \$28/day,\$1.50/hr up to a maximum charge of \$28/day,Charges same as weekdays,Charges same as weekdays,1.3140038,103.98860079999999
279,Tanglin Mall,"163 Tanglin Road, S(247933)","\$2.40 for 1st hr, \$1.20 for subsequent 30min from 6.01am to 5pm",\$3.50/entry from 5.01pm to 6am the following day,"\$2.40 for 1st hr, \$1.20 for subsequent 30min from 6.01am to 1pm, \$3.50/entry from 1.01pm to 6am the following day",\$3.50/entry from 6.01am to 6am the following day,1.3047763,103.8234034
280,Tanglin Shopping Centre,"19 Tanglin Road, S(247909)","\$3.50 for 1st hr, \$1.75 for next subsequent 30min from 8am to 5.59pm",\$3.60/entry from 6pm to 7.59am the following day,Charges same as Weekdays,\$3.60/entry from 8am to 7.59am the following day,1.3063279,103.82684959999999
281,Tang Plaza,"320 Orchard Road, S(238865)","\$3.00 for 1st hr, \$0.05/min up to a maximum charge of \$18.00 from 6am to 6pm",\$6.00/entry from 6pm to 6am the following day,Charges same as weekdays,Charges same as weekdays,1.3049283,103.8331385
282,Tanjong Katong Complex,"845 Geylang Road, S(400845)",HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,1.3164241,103.8943071
283,Tanjong Pagar Complex,"7 Keppel Road, S(089053)","\$1.29 for 1st 30min, \$0.43 for every 10min thereafter from 7am to7pm",\$2.14/entry from 7pm to 7am the following day,"\$1.29 for 1st 30min, \$0.43 for every 10min thereafter from 7am to 1pm, \$2.14/entry from 1pm to 7am the following day",\$2.14/entry from 7am to 7am the following day,1.271418,103.842329
284,The Verge,"2 Serangoon Road, S(218227)",\$1.60/hr from 7am to 5pm,"\$2.50/entry from 5pm to 12midnight, \$1.30/hr from 12midnight to 7am the following day",Charges same as weekdays,"\$2.50/entry from 7am to 12midnight, \$2.00/hr from 12midnight to 7am the following day",1.3052069,103.8515847
285,Telepark,"5 Tampines Central 6, S(529482)",\$0.65/30min from 7am to 10pm,\$0.65/30min from 10.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,1.3533986999999998,103.9420366
286,8 Shenton Way,"8 Shenton Way, S(068811)",\$2.30/30min from 7am to 6pm,\$2.80/entry from 6pm to 6.59am the following day,"\$2.30/30min from 7am to 1pm, \$2.80/entry from 1pm to 6.59am the following day",\$2.80/entry from 7am to 7am the following day,1.2761294,103.84744029999999
287,Textile Centre,"200 Jalan Sultan, S(199018)",\$2.20/hr from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,Charges same as weekdays,\$3.00/entry from 8am to 7.59am the following day,1.3038706,103.8614422
288,The Adelphi,"1 Coleman Street, S(179803)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 6am to 5pm",\$3.21/entry from 5pm to 1am the following day,Charges same as weekdays,\$3.21/entry from 6am to 1am the following day,1.2911761999999998,103.8512061
289,The Concourse,"298 Beach Road, S(199554)","\$3.21 for 1st hr, \$1.605 for next subsequent 30min from 7am to 5pm",\$4.28/entry from 5pm to 7am the following day,"\$3.20 for 1st hr, \$1.50 for next subsequent 30min from 7am to 12pm, \$4.28/entry from 12pm to 7am the following day",\$4/entry after 5pm.,1.3005498,103.86196770000001
290,The Corporate Office,"138 Robinson Road, S(068906)",\$4.00/hr from 7.01am to 5pm,\$2.50/entry from 5.01pm to 7am the following day,Charges same as weekdays,Closed,1.2784458,103.848261
291,Claymore Plaza,"6 Claymore Hill, S(229571)",\$1.50/30min from 9am to 7pm,Car Park closed after 7pm,Charges same as weekdays,Closed,1.3068223,103.83156329999998
292,Gallery Hotel,"1 Nanson Road, S(238909)","\$3.00 for 1st hr, \$1.00 for next subsequent 30min from 12pm to 2pm, \$2.00 for 1st hr, \$0.50 for next subsequent 30min from 2.01pm to 6pm from Mon to Thurs","\$3.00 for 1st hr, \$1.00 for next subsequent 30min from 6.00pm to 11.59pm, \$2.00 for 1st hr, \$0.50 for next subsequent 30min from 12midnight to 11.59am the following day from Mon to","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 6.00am to 11.59pm , \$3.00 for 1st hr, \$1.50 for next subsequent 30min from 12am to 1.59am from Fri to Sun/PH","\$2.00 for 1st hr, \$0.50 for next subsequent 30min from 2.01am to 6.00am from Fri to Sun/PH.",1.2901034,103.8385376
293,The Heeren,"260 Orchard Road, S(238855)",\$1.50/30min from 8am to 11pm,\$1.50/30min from 8am to 11pm,"\$5.00 for 1st 3hr, \$1.50 for next subsequent 30min from 8am to 11pm","\$5.00 for 1st 3hr, \$1.50 for next subsequent 30min from 8am to 11pm",1.302618,103.8373783
294,The Plaza,"7500 Beach Road, S(199590)","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 8am to 5pm",\$2.50/entry from 5pm to 8am the following day,"\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 8am to 1pm, \$2.00 for 1st 4hr, \$0.50 for next subsequent 30min from 1pm to 8am the following day","\$2.00 for 1st 4hr, \$0.50 for next subsequent 30min from 8am to 8am the following day",1.2998041999999999,103.8606655
295,The Riverwalk,"20 Upper Circular Road, S(055416)","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 7.01am to 5pm","\$3.00/entry from 5.01pm to 12am the following day, \$5.00/entry from 12.01am to 7am","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 7.01am to 3pm, \$3.00/entry from 3.01pm to 12am the following day, \$5.00/entry from 12.01am to 7am","\$3.00/entry from 7.01am to 12am the following day, \$5.00/entry from 12.01am to 7am",1.2890235,103.84845379999999
296,Thomson Medical Centre,"339 Thomson Road, S(307677)","\$3.90 for 1st hr, \$1.90 for next subsequent 30min from 8am to 8.59pm",\$4.00/entry from 9pm to 8am the following day,"\$3.50 for 1st hr, \$1.70 for next subsequent 30min from 8am to 3pm","\$3.50 for 1st hr, \$1.70 for next subsequent 30min from 8am to 3pm",1.3254092,103.8415093
297,Thomson Plaza,"301 Upper Thomson Road, S(574408)","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 7am to 12midnight","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 7am to 12midnight","\$1.20 for 1st hr, \$0.70 for next subsequent 30min from 7am to 12midnight","\$1.20 for 1st hr, \$0.70 for next subsequent 30min from 7am to 12midnight",1.3546824,103.83098659999999
298,Tiong Bahru Plaza,"302 Tiong Bahru Road, S(168732)","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 7am to 7am the following day","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,"\$1.50/hr from 7.00am to 6pm, \$3.60/entry from 6pm to 7am the following day",1.2864777,103.8271852
299,Tong Eng Building,"101 Cecil Street, S(069533)",\$2.50/30min from 7am to 5pm,\$2.50/entry,"\$2.50/30min from 7am to 4pm, Car Park closes at 4pm",Closed,1.281138,103.8495059
300,Hotel Jen at Tanglin,"1A Cuscaden Road, S(249716)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 7am to 5pm",\$3.50/entry from 5pm to 7am the following day,"Charges same as weekdays, but \$3.50/entry after 1pm",\$3.50/entry from 7am to 7am the following day,1.3043850000000001,103.8238263
301,Tristar Complex (Inn S'pore),"970 Geylang Road, S(423492)",\$0.40/30min from 7am to 5pm,\$2/entry from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.3160466999999998,103.89726479999999
302,20 Collyer Quay,"20 Collyer Quay, S(049319)",\$2.50/30min from 6am to 5pm,\$3.20/entry from 5pm to 11pm,Charges same as weekdays,Closed,1.284677,103.8527043
303,The Grandstand,"720 Dunearn Road, S(789631)",Free Parking,Free Parking,Free Parking,Free Parking,1.3322253000000002,103.79468929999999
304,UIC Building,"5 Shenton Way, S(068808)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.2780361999999998,103.8497325
305,United House,"20 Kramat Lane, S(228773)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,1.3010722,103.8424588
306,United Square Shopping Mall,"101 Thomson Road, S(307591)","\$2.20 for 1st hr, \$0.30 for next subsequent 15min from 7am to 6pm",\$2.00/entry from 6pm to 7am the following day,"\$2.20 for 1st 2hr, \$0.30 for next subsequent 15min from 7am to 6pm, \$2.00/entry from 6pm to 7am the following day","\$2.50 for 1st 3hr, \$0.30 for next subsequent 15min from 7am to 6pm, \$2.00/entry from 6pm to 7am the following day, \$2.50/entry from 7am to 7am the following day on Public Holidays",1.3174445,103.8435719
307,UOB Plaza,"80 Raffles Place, S(048624)",\$3.00/30min from 7am to 6pm,"\$4.00/entry from 6pm to 12midnight, \$4.00/entry from 12midnight to 7am the following day","\$4.00/entry from 7am to 12midnight, \$4.00/entry from 12midnight to 7am the following day","\$4.00/entry from 7am to 12midnight, \$4.00/entry from 12midnight to 7am the following day",1.2854208999999999,103.8505945
308,UOL Building,"96 Somerset Road, S(238163)",*,*,*,*,1.3009657,103.83784320000001
309,The URA Centre (Basement Car Park),"45 Maxwell Road, S(069118)",\$1.40/30min from 7am to 10pm,\$1.40/30min from 7am to 10pm,Charges same as weekdays,Closed,1.2799508,103.8452291
310,Valley Point,"491 River Valley Road, S(248371)","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 8am to 5pm","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,1.2931273,103.8274535
311,Wellington Building,"20 Bideford Road, S(229921)",*,*,*,*,1.3032243,103.83658249999999
312,West Mall,"1 Bukit Batok Central Link, S(658713)","\$1.10 for 1st 2hr, \$0.60 for next subsequent 30min from 8am to 5pm",\$2.50/entry from 5pm to 6am the following day,"\$1.10 for 1st hr, \$0.60 for next subsequent 30min from 8am to 4.59pm, \$2.50/entry from 5pm to 6am the following day",\$2.50/entry from 8am to 8am the following day,1.3500715,103.7493232
313,West Point Family Hospital,"235 Corporation Drive, S(619771)",Free Parking,Free Parking,Free Parking,Free Parking,1.3310908000000001,103.722924
314,Wheelock Place,"501 Orchard Road, S(238880)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5.59pm",\$4.50/entry from 6pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,1.3047388999999998,103.83067259999999
315,White Sands,"1 Pasir Ris Central Street 3, S(518457)","\$1.20/hr for 1st 2hr, \$1.20 for subsequent 30min from 7am to 7pm",\$2.00/entry from 7pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.3724629,103.9497193
316,Wisma Atria,"435 Orchard Road, S(238877)","\$2.50 for 1st hr, \$1.20 for next subsequent 30min from 7.01am to 5pm",\$3.50/entry from 5.01pm to 7am the following day,"\$2.40 for 1st hr, \$1.50 for next subsequent 30min from 7.01am to 5pm, \$3.50/entry from 5.01pm to 7am the following day","\$2.40 for 1st hr, \$1.50 for next subsequent 30min from 7.01am to 5pm, \$3.50/entry from 5.01pm to 7am the following day",1.3037148,103.8332476
317,Woodlands Civic Centre,"900 South Woodlands Drive, S(730900)",\$0.50/30min from 7am to 10.30pm,"\$0.50/30min, \$2.00/entry from 10.30pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.4350059,103.78692029999999
318,Yishun 10,"51 Yishun Central 1, S(768794)","\$1.28 for 1st hr, \$0.40 for next subsequent 15min from 7am to 5.59pm",\$2.57/entry from 6pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,1.4299238,103.8364296
319,York Hotel,"21 Mount Elizabeth, S(228516)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 8.01am to 6pm",\$4.00/entry from 6.01pm to 8am the following day,Charges same as weekdays,\$4.00/entry from 8am to 7.59am the following day,1.3071446000000002,103.8353228
320,Young Women Christian Association (YWCA) Fort Canning Lodge,"6 Fort Canning Road, S(179494)","\$1.60 for 1st hr, \$0.90 for next subsequent 30min from 8am to 5pm",\$2.50/entry from 5pm to 8am the following day,"Charges same as weekdays but \$2.50/entry from 12.01pm to 5pm, \$2.50/entry from 5pm to 8am the following day",\$3.30/entry from 8.01am to 8am the following day,1.2974715,103.845116
321,Savoy Theatre,"90 Boon Lay Place, S(238834)","\$1.20/hr from 8am to 5pm for cars, \$6.80/entry from 8am to 5pm for commercial vehicles","\$3.00/entry from 5.01pm to 7.59am the following day for cars, \$13.00/entry from 5.01pm to 7.59am the following day for commercial vehicles",Charges same as weekdays,"\$3.00/entry from 8am to 7.59am the following day for cars, \$13.00/entry from 8am to 7.59am the following day for commercial vehicles",1.3477348999999998,103.711589
322,Henderson Industrial Park Blk 203,"203 Henderson Road, S(159546)",\$1.40/hr from 8am to 4.59pm,\$1.70/entry from 5pm to 7.59am the following day,Charges same as weekdays,Closed,1.28147,103.821202
323,NTUC Income Henderson Industrial Park,"201 Henderson Road, S(159545)",\$1.30/hr from 8am to 5pm,\$1.60/entry from 5pm to 8am the following day,Charges same as weekdays,Closed,1.2824693,103.8203805
324,Jurong Theatre,"101 Yung Sheng Road, S(618497)",\$1.60/hr from 8am to 8.59pm,\$3.00/entry from 9pm to 7.59am the following day,Charges same as weekdays,\$3.00/entry from 8am to 7.59am the following day,1.3344847,103.7222233
325,Serene Centre,"10 Jalan Serene, S(258748)","\$1.80 for 1st hr, \$1.80 for next subsequent 30min from 8am to 9.59pm",\$1.80/entry from 10pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,1.3225296999999998,103.81371340000001
326,Hong Leong Garden Shopping Centre,"228 West Coast Way, Hong Leong Garden Shopping Centre, S(127111)",\$1.21/hr from 8am to 5pm,\$1.72/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.72/entry,1.3156987,103.7573506
327,Coronation Shopping Plaza,"587 Bukit Timah Road, S(269707)",\$2.30/hr from 7am to 7am the following day,\$2.30/hr from 7am to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.323839,103.81003100000001
328,Techplace 1,"4008 Ang Mo Kio Avenue 10, S(569625)","\$0.92 for 1st hr, \$1.12 for next subsequent hr from 8am to 5pm",\$1.74/entry from 5pm to 8am the following day,Charges same as weekdays,Closed,1.3599893,103.85643540000001
329,Balestier Warehouse,"12A Jalan Ampas, S(329516)","\$1.50 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm","\$1.50 for 1st hr, \$1.50 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,1.3264993,103.8519853
330,Fajar Shopping Centre,"445 Fajar Road, S(670445)",\$0.60/30min from 7am to 6pm,"\$0.60/30min up to a maximum charge of \$1.50 from 6pm to 10.30pm, \$0.60/30min up to a maximum charge of \$5.00 from 10.30pm to 7am the following day","\$0.60/30min up to a maximum charge of \$1.50 from 7am to 10.30pm, \$0.60/30min up to a maximum charge of \$5.00 from 10.30pm to 7am the following day","\$0.60/30min up to a maximum charge of \$1.50 from 7am to 10.30pm, \$0.60/30min up to a maximum charge of \$5.00 from 10.30pm to 7am the following day",1.383802,103.770558
